"Variable","Importance"
"ACAP3",0
"ACTRT2",0
"AGRN",5.11262596324835e-05
"ANKRD65",0
"ATAD3A",0
"ATAD3B",0
"ATAD3C",0.000209691760521636
"AURKAIP1",0
"B3GALT6",0
"C1orf159",0
"C1orf170",0
"C1orf222",0
"C1orf233",0
"C1orf86",0
"CALML6",0
"CCNL2",0
"CDK11A",0
"CDK11B",0
"CPSF3L",0
"DDX11L1",0
"DVL1",-2.22288085358624e-06
"FAM132A",0
"FAM138A",0
"FAM213B",-1.48192056905749e-05
"FAM41C",0
"FAM87B",0
"GABRD",0
"GLTPD1",0
"GNB1",0
"HES4",0
"HES5",3.63070539419086e-05
"ISG15",0
"KLHL17",0
"LINC00115",0
"LINC00982",0
"MIB2",0
"MIR200A",-2.22288085358624e-05
"MIR200B",0
"MIR429",0
"MMEL1",0
"MMP23B",0
"MORN1",-0.000190426793123889
"MRPL20",0
"MXRA8",0
"NADK",0
"NOC2L",-0.000102993479549497
"OR4F16",0
"OR4F29",0
"OR4F5",0
"PANK4",0
"PEX10",0
"PLCH2",0
"PLEKHN1",0
"PRDM16",0
"PRKCZ",0
"PUSL1",0
"RER1",0
"RNF223",0
"SAMD11",0
"SCNN1D",0
"SDF4",0
"SKI",0
"SLC35E2B",0
"SLC35E2",0
"SSU72",0
"TAS1R3",7.11321873147597e-05
"TMEM240",0
"TMEM52",0
"TMEM88B",0
"TNFRSF14",0
"TNFRSF18",-7.40960284528747e-07
"TNFRSF4",0
"TTC34",0
"TTLL10",0
"UBE2J2",0
"VWA1",0
"ARHGEF16",0
"MEGF6",0
"MIR551A",0
"TPRG1L",0
"WRAP73",0
"TP73",0
"CCDC27",0
"SMIM1",0
"LRRC47",0
"RN7SL574P",0
"CEP104",0
"DFFB",0
"C1orf174",-3.11203319502074e-05
"AJAP1",0
"MIR4417",0
"MIR4689",0
"NPHP4",0
"KCNAB2",0
"CHD5",0
"RPL22",0
"RNF207",0
"ICMT",0
"LINC00337",0
"GPR153",0
"HES3",0
"ACOT7",0
"HES2",0
"ESPN",0
"MIR4252",0
"PLEKHG5",0
"TNFRSF25",0
"NOL9",0
"TAS1R1",0
"ZBTB48",0
"KLHL21",0
"PHF13",0
"THAP3",0.000301570835803201
"DNAJC11",0
"CAMTA1",0
"VAMP3",0
"PER3",0
"UTS2",-0.000486810906935387
"TNFRSF9",0
"PARK7",0
"ERRFI1",0
"SLC45A1",0
"RERE",0
"ENO1",0
"CA6",0
"RN7SL451P",0
"SLC2A7",0
"SLC2A5",-6.1499703615886e-05
"GPR157",0
"MIR34A",0
"H6PD",9.11381149970358e-05
"SPSB1",0
"RNA5SP40",0
"SLC25A33",0.000178571428571429
"TMEM201",0
"C1orf200",-0.000194131594546533
"PIK3CD",0
"CLSTN1",-6.96502667457022e-05
"CTNNBIP1",0
"LZIC",0
"NMNAT1",0
"RN7SKP269",0.000203023117960877
"MIR5697",0
"RBP7",0
"UBE4B",0
"KIF1B",0.000889893301719028
"MIR1273D",0
"PGD",8.89152341434496e-05
"APITD1",0
"CORT",0.0002911973918198
"DFFA",0
"PEX14",0
"RN7SL614P",0
"CASZ1",0
"C1orf127",0
"TARDBP",0
"MASP2",0
"SRM",0
"EXOSC10",0
"MTOR",0
"ANGPTL7",0
"UBIAD1",0
"PTCHD2",0
"FBXO2",0
"FBXO44",0
"FBXO6",0
"MAD2L2",0.000304534676941316
"DRAXIN",0
"AGTRAP",0
"C1orf167",-0.000180794309425015
"MTHFR",0
"CLCN6",0
"NPPA",0.000118553645524599
"NPPB",0
"KIAA2013",0
"PLOD1",0
"MFN2",0
"MIIP",0
"RN7SL649P",0
"TNFRSF8",0
"TNFRSF1B",0
"MIR4632",0
"VPS13D",0
"SNORA59A",0
"DHRS3",0.000389745109662122
"RNU6ATAC18P",3.63070539419086e-05
"AADACL4",0
"AADACL3",-0.000402341434499111
"C1orf158",-8.37285121517484e-05
"HNRNPCL1",0
"PRAMEF10",0
"PRAMEF11",0
"PRAMEF12",0
"PRAMEF13",0
"PRAMEF14",0
"PRAMEF15",0
"PRAMEF16",0
"PRAMEF17",0
"PRAMEF18",0.000120776526378186
"PRAMEF19",0
"PRAMEF1",0
"PRAMEF21",0
"PRAMEF22",0
"PRAMEF2",0
"PRAMEF4",1.63011262596324e-05
"PRAMEF5",0
"PRAMEF6",0
"PRAMEF7",0
"PRAMEF8",7.40960284528747e-06
"PRAMEF9",-9.1138114997037e-05
"PRAMEF20",0
"LRRC38",0
"PDPN",0
"RNA5SP41",0
"PRDM2",0
"KAZN",0.000203764078245405
"TMEM51",0
"C1orf195",0
"FHAD1",0
"EFHD2",0
"CTRC",0
"CELA2A",0
"CELA2B",0
"CASP9",-3.55660936573798e-05
"DNAJC16",0
"AGMAT",0
"DDI2",0
"RSC1A1",0
"PLEKHM2",0.000131149970361589
"FBLIM1",0
"SLC25A34",0
"TMEM82",3.63070539419086e-05
"SPEN",3.70480142264373e-06
"ZBTB17",0
"C1orf64",-6.89093064611734e-05
"HSPB7",5.92768227622997e-06
"CLCNKA",0
"CLCNKB",-0.000169679905157083
"FAM131C",0
"EPHA2",-0.000170420865441613
"ARHGEF19",0
"ANO7P1",0
"C1ORF134",0
"RSG1",0
"FBXO42",-0.000125222288085359
"SZRD1",0
"SPATA21",4.44576170717248e-05
"NECAP2",9.70657972732658e-05
"CROCCP3",0.00031935388263189
"ATP13A2",0
"CROCCP2",0
"CROCC",0
"ESPNP",0
"MFAP2",0
"MIR3675",-1.03734439834025e-05
"MST1L",0
"NBPF1",0.000329727326615293
"SDHB",-0.00043864848844102
"PADI2",0
"PADI1",0.000185981031416717
"PADI3",0
"MIR3972",0
"PADI4",0
"PADI6",-6.37225844694733e-05
"RCC2",0
"ARHGEF10L",0
"ACTL8",0
"IGSF21",0
"KLHDC7A",0.00026600474214582
"PAX7",0
"TAS1R2",0
"ALDH4A1",0
"MIR4695",0
"MIR1290",0
"IFFO2",0
"UBR4",0
"EMC1",-0.000122258446947244
"MRTO4",-0.000172643746295198
"AKR7A3",0
"AKR7L",0.000571280379371666
"AKR7A2",0
"PQLC2",-0.000458654416123295
"CAPZB",0
"RN7SL277P",0.000139300533491405
"MINOS1",0
"NBL1",0
"HTR6",0
"TMCO4",0
"RNF186",0.000300088915234145
"OTUD3",0
"PLA2G2E",0
"PLA2G2A",0.00082394783639597
"RN7SL304P",-3.92708950800236e-05
"PLA2G5",0
"PLA2G2D",-7.18731475992884e-05
"PLA2G2F",0
"PLA2G2C",0
"UBXN10",0
"VWA5B1",-0.000666864256075874
"CAMK2N1",0
"MUL1",0
"FAM43B",0
"CDA",8.74333135743932e-05
"PINK1",0
"DDOST",0
